angle_deg,distance_mm
65.5927734375,678
66.02099609375,684
66.57421875,690
67.00244140625,696
67.5556640625,702
67.85888671875,709
68.287109375,714
68.71533203125,720
69.2685546875,728
69.69677734375,736
70.25,742
70.4287109375,748
71.107421875,756
71.5361328125,764
71.96484375,770
72.3935546875,779
72.822265625,788
73.2509765625,797
73.6796875,806
74.2333984375,814
74.662109375,823
75.0908203125,833
75.51953125,841
75.9482421875,851
76.376953125,862
76.609375,615
76.7880859375,604
77.341796875,595
77.7705078125,590
78.19921875,586
78.6279296875,583
79.056640625,581
79.3603515625,579
79.9140625,577
80.0927734375,575
80.646484375,573
81.0751953125,571
81.50390625,570
81.9326171875,568
82.361328125,567
82.6650390625,565
83.21875,564
83.52001953125,562
84.0712890625,561
84.62255859375,560
84.923828125,559
85.22509765625,558
85.7763671875,557
86.07763671875,556
86.62890625,555
86.93017578125,553
87.3564453125,552
87.90771484375,551
88.333984375,550
88.63525390625,549
88.9365234375,548
89.61279296875,547
90.0390625,546
90.34033203125,545
90.7666015625,544
91.19287109375,543
91.619140625,543
91.92041015625,542
92.4716796875,542
93.02294921875,541
93.32421875,540
93.75048828125,540
94.3017578125,539
94.60302734375,539
95.029296875,538
95.45556640625,538
95.8818359375,537
96.18310546875,537
96.609375,537
97.03662109375,537
97.5888671875,537
97.89111328125,536
98.443359375,536
98.74560546875,536
99.4228515625,536
99.72509765625,536
100.15234375,536
100.70458984375,536
101.0068359375,536
101.55908203125,537
101.861328125,538
102.28857421875,539
102.5908203125,540
103.14306640625,542
103.4453125,545
103.87255859375,548
104.4248046875,550
104.85205078125,553
105.404296875,557
105.70654296875,563
106.1337890625,569
106.81103515625,579
108.2177734375,632
108.64501953125,620
108.947265625,612
108.6767578125,429
109.47900390625,431
109.83447265625,400
110.2626953125,390
110.69091796875,382
110.744140625,377
107.42236328125,371
111.7255859375,366
112.15380859375,363
109.51025390625,342
109.6884765625,337
109.99169921875,336
110.294921875,334
110.97314453125,334
111.1513671875,334
112.20458984375,333
112.2578125,334
112.43603515625,335
112.8642578125,336
117.16748046875,338
113.720703125,339
114.14892578125,340
114.5771484375,341
118.88037109375,341
115.80859375,340
115.86181640625,340
116.6650390625,339
117.34326171875,336
117.521484375,335
117.69970703125,335
118.3779296875,334
118.43115234375,335
119.109375,336
119.41162109375,335
120.2138671875,334
120.26611328125,334
120.943359375,334
121.37060546875,335
122.0478515625,336
122.10009765625,337
126.15234375,338
126.57958984375,340
123.3818359375,341
127.43408203125,342
124.236328125,340
124.78857421875,337
125.2158203125,335
125.39306640625,334
129.5703125,335
126.37255859375,336
126.7998046875,336
127.47705078125,337
127.529296875,338
128.20654296875,338
128.5087890625,339
129.06103515625,341
132.98828125,343
129.91552734375,344
130.2177734375,345
130.39501953125,346
134.697265625,347
131.37451171875,348
131.8017578125,349
135.97900390625,351
136.53125,352
132.9580078125,353
137.259765625,355
134.0615234375,357
134.36328125,361
138.5400390625,366
135.216796875,369
139.3935546875,373
140.0703125,377
140.3720703125,383
139.984375,335
139.7861328125,335
140.712890625,335
141.0146484375,336
141.19140625,336
145.3681640625,337
142.294921875,338
142.8466796875,337
146.6484375,337
143.2001953125,338
144.001953125,340
153.4921875,469
153.91796875,471
154.59375,470
154.76953125,470
155.4453125,470
155.62109375,470
156.296875,470
156.59765625,472
163.66015625,504
174.7529296875,505
176.033203125,502
176.3349609375,499
176.76171875,496
177.1884765625,497
177.490234375,497
178.1669921875,494
178.59375,493
178.7734375,490
179.328125,489
179.6328125,490
180.3125,490
180.6171875,489
181.046875,488
181.3515625,487
181.90625,487
182.3359375,486
182.515625,485
182.9453125,484
183.5,483
